Category,Skills
iot developer,"nb-iot, data mining, data visualization, wireless sensor networks, edge ai, c++, iot data protocols, real-time systems, thingspeak, json"
cyber security,"rhel security, soc analyst, ethical hacking, security automation, security incident management, splunk, compliance auditing, firewalls configuration, burp suite, malware reverse engineering"
full stack developer,"java, behavior-driven development, cloud functions, angular, jwt, devops"
mobile application developer,"app analytics, app store optimization (aso), testflight, continuous integration, app customization, xcode, agile development"
information technology,"nginx, networking, aws ec2, git, hyper-v, tcp/ip, sql queries, ssl/tls, system administration"
artificial intelligence,"ai for healthcare, ai ethics, data mining, ai model interpretability, ai software development, ai solutions, convolutional neural networks (cnn)"
ui/ux designer,"storyboarding, product design, customer experience, wireframe sketches, ux analytics, responsive web design"
database developer,"sql, cassandra, data structures, t-sql, nosql databases, database high availability, rdbms"
web developer,"angular, mysql, postgresql, typescript, express.js, chai, html"
database developer,"data structures, database scripting, redis, data management, database partitioning, data privacy, spark, replication"
artificial intelligence,"computer vision, cloud computing, scikit-learn, convolutional neural networks (cnn), ai for business intelligence, ai model deployment, google cloud ai"
cloud engineer,"cloud performance, monitoring tools, puppet, cloud management, cloud monitoring, bash, serverless architecture, cloudformation"
data analyst,"power pivot, aws, big data, business analysis, sql reporting"
information technology,"troubleshooting, vpn, virtual private network (vpn), cloud deployment, windows os, sql"
web developer,"cross-browser compatibility, jquery, test automation, mongodb, mysql"
full stack developer,"javascript, functional programming, scrum, frontend frameworks, rest apis, ui/ux design, responsive design, websockets"
web developer,"react, github, authentication, ui testing, sass, nosql, apache, graphql, docker, html"
cyber security,"security risk analysis, threat detection, kali linux, burp suite, security policies, malware reverse engineering, fireeye"
cyber security,"security tools, cyber attack mitigation, wireshark, ethical hacking, security operations, cisco security, web application security, redhat security, aws security"
full stack developer,"express.js, babel, sql, typescript, github, node.js, agile"
full stack developer,"api integration, graphql apis, firebase, babel, mysql, ruby, sql"
software engineer,"sql, embedded linux, tensorflow, monitoring, c#, kubernetes"
data analyst,"database management, dax, seaborn, excel, sas"
artificial intelligence,"lightgbm, recurrent neural networks (rnn), ai ethics, ai in autonomous vehicles, ai in security, supervised learning"
data scientist,"neural networks, bayesian inference, data analysis, deep learning algorithms, statistics, algorithm development, data modeling, data cleaning"
big data engineer,"python, data warehousing, big data cloud services, mapreduce, data visualization, hadoop ecosystem, nosql databases"
mobile application developer,"mobile app backend, objective-c++, app store guidelines, app debugging tools, app refactoring, app store optimization (aso), sqlite, restful apis, app deployment, java"
backend developer,"python, websockets, full-stack development, devops, load balancing, terraform, version control, github"
web developer,"jquery, back-end frameworks, typescript, invision, version control, python, responsive design"
machine learning,"model optimization, python, text classification, computer vision, r, unsupervised learning, h2o.ai"
information technology,"endpoint security, voip, api management, hyper-v, git, troubleshooting"
data analyst,"machine learning, data reporting, google analytics, matplotlib, etl pipelines, kaggle, statistics, data reporting, etl"
software engineer,"cloudformation, node.js, mongodb, agile, websockets, numpy"
network engineer,"traffic analysis, ssl vpn, network troubleshooting tools, routing protocols, bandwidth management, network protocols, mpls, powershell, network hardware"
ui/ux designer,"zeplin, ui/ux strategy, prototyping tools, a/b testing, sketch, user research, user flows, invision"
cyber security,"vulnerability management, metasploit, siem, malware analysis, redhat security, advanced persistent threats, data loss prevention"
web developer,"content management systems, css, jwt, mocha, responsive design, react"
backend developer,"go, api gateway, distributed systems, aws lambda, rest apis, kubernetes"
ui/ux designer,"prototype testing, trello, accessibility standards, material design, user-centered design"
software engineer,"sql, swiftui, kafka, angular, pytorch, hadoop, firebase"
cloud engineer,"cloud services, iam, cloud deployment automation, docker, python, cloud security"
software engineer,"mysql, blockchain, oauth2, python, swift, restful apis, real-time operating systems, security"
machine learning,"mlflow, catboost, azure machine learning, automl, random forest, scikit-learn, text mining"
web developer,"mongodb, ux/ui design, back-end frameworks, ui testing, github, front-end frameworks, css, progressive web apps, jasmine, webpack"
software engineer,"cloud native, trello, sql, mongodb, graphql, javascript (typescript), kafka"
data analyst,"cloud computing, power pivot, predictive analytics, data interpretation, data architecture, python, google analytics, data reporting, data integration"
artificial intelligence,"lightgbm, artificial neural networks (ann), spark, model evaluation, azure ai, deep learning algorithms, aws, xgboost"
data scientist,"data security, computer vision, unsupervised learning, robust statistics, machine learning, google cloud platform, big data"
backend developer,"go, database troubleshooting, node.js, mockito, caching strategies, cloud apis, microservices architecture"
software engineer,"security, java, kubernetes, scikit-learn, ui/ux design, numpy"
artificial intelligence,"ai in iot, machine learning operations (mlops), support vector machines (svm), quantum ai, data preprocessing, logistic regression, mlflow"
